
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 186, Time: 0.186768, Systemstep: 0.000732422

Begin Step 187, Time: 0.1875, Systemstep: 0.000732422

Begin Step 188, Time: 0.188232, Systemstep: 0.000732422

Begin Step 189, Time: 0.188965, Systemstep: 0.000732422

Begin Step 190, Time: 0.189697, Systemstep: 0.000732422

Begin Step 191, Time: 0.19043, Systemstep: 0.000732422

Begin Step 192, Time: 0.191162, Systemstep: 0.000732422

Begin Step 193, Time: 0.191895, Systemstep: 0.000732422

Begin Step 194, Time: 0.192627, Systemstep: 0.000732422

Begin Step 195, Time: 0.193359, Systemstep: 0.000732422

Begin Step 196, Time: 0.194092, Systemstep: 0.000732422

Begin Step 197, Time: 0.194824, Systemstep: 0.000732422

Begin Step 198, Time: 0.195557, Systemstep: 0.000732422

Begin Step 199, Time: 0.196289, Systemstep: 0.000732422

Begin Step 200, Time: 0.197021, Systemstep: 0.000732422

Begin Step 201, Time: 0.197754, Systemstep: 0.000732422

Begin Step 202, Time: 0.198486, Systemstep: 0.000732422

Begin Step 203, Time: 0.199219, Systemstep: 0.000732422

Begin Step 204, Time: 0.199951, Systemstep: 0.000732422

Begin Step 205, Time: 0.200684, Systemstep: 0.000732422

Begin Step 206, Time: 0.201416, Systemstep: 0.000732422

Begin Step 207, Time: 0.202148, Systemstep: 0.000732422

Begin Step 208, Time: 0.202881, Systemstep: 0.000732422

Begin Step 209, Time: 0.203613, Systemstep: 0.000732422

Begin Step 210, Time: 0.204346, Systemstep: 0.000732422

Begin Step 211, Time: 0.205078, Systemstep: 0.000732422

Begin Step 212, Time: 0.205811, Systemstep: 0.000732422

Begin Step 213, Time: 0.206543, Systemstep: 0.000732422

Begin Step 214, Time: 0.207275, Systemstep: 0.000732422

Begin Step 215, Time: 0.208008, Systemstep: 0.000732422

Begin Step 216, Time: 0.20874, Systemstep: 0.000732422

Begin Step 217, Time: 0.209473, Systemstep: 0.000732422

Begin Step 218, Time: 0.210205, Systemstep: 0.000732422

Begin Step 219, Time: 0.210938, Systemstep: 0.000732422

Begin Step 220, Time: 0.21167, Systemstep: 0.000732422

Begin Step 221, Time: 0.212402, Systemstep: 0.000732422

Begin Step 222, Time: 0.213135, Systemstep: 0.000732422

Begin Step 223, Time: 0.213867, Systemstep: 0.000732422

Begin Step 224, Time: 0.2146, Systemstep: 0.000732422

Begin Step 225, Time: 0.215332, Systemstep: 0.000732422

Begin Step 226, Time: 0.216064, Systemstep: 0.000732422

Begin Step 227, Time: 0.216797, Systemstep: 0.000732422

Begin Step 228, Time: 0.217529, Systemstep: 0.000732422

Begin Step 229, Time: 0.218262, Systemstep: 0.000732422

Begin Step 230, Time: 0.218994, Systemstep: 0.000732422

Begin Step 231, Time: 0.219727, Systemstep: 0.000732422

Begin Step 232, Time: 0.220459, Systemstep: 0.000732422

Begin Step 233, Time: 0.221191, Systemstep: 0.000732422

Begin Step 234, Time: 0.221924, Systemstep: 0.000732422

Begin Step 235, Time: 0.222656, Systemstep: 0.000732422

Begin Step 236, Time: 0.223389, Systemstep: 0.000732422

Begin Step 237, Time: 0.224121, Systemstep: 0.000732422

Begin Step 238, Time: 0.224854, Systemstep: 0.000732422

Begin Step 239, Time: 0.225586, Systemstep: 0.000732422

Begin Step 240, Time: 0.226318, Systemstep: 0.000732422

Begin Step 241, Time: 0.227051, Systemstep: 0.000732422

Begin Step 242, Time: 0.227783, Systemstep: 0.000732422

Begin Step 243, Time: 0.228516, Systemstep: 0.000732422

Begin Step 244, Time: 0.229248, Systemstep: 0.000732422

Begin Step 245, Time: 0.22998, Systemstep: 0.000732422

Begin Step 246, Time: 0.230713, Systemstep: 0.000732422

Begin Step 247, Time: 0.231445, Systemstep: 0.000732422

Begin Step 248, Time: 0.232178, Systemstep: 0.000732422

Begin Step 249, Time: 0.23291, Systemstep: 0.000732422

Begin Step 250, Time: 0.233643, Systemstep: 0.000732422

Begin Step 251, Time: 0.234375, Systemstep: 0.000732422

Begin Step 252, Time: 0.235107, Systemstep: 0.000732422

Begin Step 253, Time: 0.23584, Systemstep: 0.000732422

Begin Step 254, Time: 0.236572, Systemstep: 0.000732422

Begin Step 255, Time: 0.237305, Systemstep: 0.000732422

Begin Step 256, Time: 0.238037, Systemstep: 0.000732422

Begin Step 257, Time: 0.23877, Systemstep: 0.000732422

Begin Step 258, Time: 0.239502, Systemstep: 0.000732422

Begin Step 259, Time: 0.240234, Systemstep: 0.000732422

Begin Step 260, Time: 0.240967, Systemstep: 0.000732422

Begin Step 261, Time: 0.241699, Systemstep: 0.000732422

Begin Step 262, Time: 0.242432, Systemstep: 0.000732422

Begin Step 263, Time: 0.243164, Systemstep: 0.000732422

Begin Step 264, Time: 0.243896, Systemstep: 0.000732422

Begin Step 265, Time: 0.244629, Systemstep: 0.000732422

Begin Step 266, Time: 0.245361, Systemstep: 0.000732422

Begin Step 267, Time: 0.246094, Systemstep: 0.000732422

Begin Step 268, Time: 0.246826, Systemstep: 0.000732422

Begin Step 269, Time: 0.247559, Systemstep: 0.000732422

Begin Step 270, Time: 0.248291, Systemstep: 0.000732422

Begin Step 271, Time: 0.249023, Systemstep: 0.000732422

Begin Step 272, Time: 0.249756, Systemstep: 0.000732422

Begin Step 273, Time: 0.250488, Systemstep: 0.000732422

Begin Step 274, Time: 0.251221, Systemstep: 0.000732422

Begin Step 275, Time: 0.251953, Systemstep: 0.000732422

Begin Step 276, Time: 0.252686, Systemstep: 0.000732422

Begin Step 277, Time: 0.253418, Systemstep: 0.000732422

Begin Step 278, Time: 0.25415, Systemstep: 0.000732422

Begin Step 279, Time: 0.254883, Systemstep: 0.000732422

Begin Step 280, Time: 0.255615, Systemstep: 0.000732422

Begin Step 281, Time: 0.256348, Systemstep: 0.000732422

Begin Step 282, Time: 0.25708, Systemstep: 0.000732422

Begin Step 283, Time: 0.257812, Systemstep: 0.000732422

Begin Step 284, Time: 0.258545, Systemstep: 0.000732422

Begin Step 285, Time: 0.259277, Systemstep: 0.000732422

Begin Step 286, Time: 0.26001, Systemstep: 0.000732422

Begin Step 287, Time: 0.260742, Systemstep: 0.000732422

Begin Step 288, Time: 0.261475, Systemstep: 0.000732422

Begin Step 289, Time: 0.262207, Systemstep: 0.000732422

Begin Step 290, Time: 0.262939, Systemstep: 0.000732422

Begin Step 291, Time: 0.263672, Systemstep: 0.000732422

Begin Step 292, Time: 0.264404, Systemstep: 0.000732422

Begin Step 293, Time: 0.265137, Systemstep: 0.000732422

Begin Step 294, Time: 0.265869, Systemstep: 0.000732422

Begin Step 295, Time: 0.266602, Systemstep: 0.000732422

Begin Step 296, Time: 0.267334, Systemstep: 0.000732422

Begin Step 297, Time: 0.268066, Systemstep: 0.000732422

Begin Step 298, Time: 0.268799, Systemstep: 0.000732422

Begin Step 299, Time: 0.269531, Systemstep: 0.000732422

Begin Step 300, Time: 0.270264, Systemstep: 0.000732422

Begin Step 301, Time: 0.270996, Systemstep: 0.000732422

Begin Step 302, Time: 0.271729, Systemstep: 0.000732422

Begin Step 303, Time: 0.272461, Systemstep: 0.000732422

Begin Step 304, Time: 0.273193, Systemstep: 0.000732422

Begin Step 305, Time: 0.273926, Systemstep: 0.000732422

Begin Step 306, Time: 0.274658, Systemstep: 0.000732422

Begin Step 307, Time: 0.275391, Systemstep: 0.000732422

Begin Step 308, Time: 0.276123, Systemstep: 0.000732422

Begin Step 309, Time: 0.276855, Systemstep: 0.000732422

Begin Step 310, Time: 0.277588, Systemstep: 0.000732422

Begin Step 311, Time: 0.27832, Systemstep: 0.000732422

Begin Step 312, Time: 0.279053, Systemstep: 0.000732422

Begin Step 313, Time: 0.279785, Systemstep: 0.000732422

Begin Step 314, Time: 0.280518, Systemstep: 0.000732422

Begin Step 315, Time: 0.28125, Systemstep: 0.000732422

Begin Step 316, Time: 0.281982, Systemstep: 0.000732422

Begin Step 317, Time: 0.282715, Systemstep: 0.000732422

Begin Step 318, Time: 0.283447, Systemstep: 0.000732422

Begin Step 319, Time: 0.28418, Systemstep: 0.000732422

Begin Step 320, Time: 0.284912, Systemstep: 0.000732422

Begin Step 321, Time: 0.285645, Systemstep: 0.000732422

Begin Step 322, Time: 0.286377, Systemstep: 0.000732422

Begin Step 323, Time: 0.287109, Systemstep: 0.000732422

Begin Step 324, Time: 0.287842, Systemstep: 0.000732422

Begin Step 325, Time: 0.288574, Systemstep: 0.000732422

Begin Step 326, Time: 0.289307, Systemstep: 0.000732422

Begin Step 327, Time: 0.290039, Systemstep: 0.000732422

Begin Step 328, Time: 0.290771, Systemstep: 0.000732422

Begin Step 329, Time: 0.291504, Systemstep: 0.000732422

Begin Step 330, Time: 0.292236, Systemstep: 0.000732422

Begin Step 331, Time: 0.292969, Systemstep: 0.000732422

Begin Step 332, Time: 0.293701, Systemstep: 0.000732422

Begin Step 333, Time: 0.294434, Systemstep: 0.000732422

Begin Step 334, Time: 0.295166, Systemstep: 0.000732422

Begin Step 335, Time: 0.295898, Systemstep: 0.000732422

Begin Step 336, Time: 0.296631, Systemstep: 0.000732422

Begin Step 337, Time: 0.297363, Systemstep: 0.000732422

Begin Step 338, Time: 0.298096, Systemstep: 0.000732422

Begin Step 339, Time: 0.298828, Systemstep: 0.000732422

Begin Step 340, Time: 0.299561, Systemstep: 0.000732422

Begin Step 341, Time: 0.300293, Systemstep: 0.000732422

Begin Step 342, Time: 0.301025, Systemstep: 0.000732422

Begin Step 343, Time: 0.301758, Systemstep: 0.000732422

Begin Step 344, Time: 0.30249, Systemstep: 0.000732422

Begin Step 345, Time: 0.303223, Systemstep: 0.000732422

Begin Step 346, Time: 0.303955, Systemstep: 0.000732422

Begin Step 347, Time: 0.304688, Systemstep: 0.000732422

Begin Step 348, Time: 0.30542, Systemstep: 0.000732422

Begin Step 349, Time: 0.306152, Systemstep: 0.000732422

Begin Step 350, Time: 0.306885, Systemstep: 0.000732422

Begin Step 351, Time: 0.307617, Systemstep: 0.000732422

Begin Step 352, Time: 0.30835, Systemstep: 0.000732422

Begin Step 353, Time: 0.309082, Systemstep: 0.000732422

Begin Step 354, Time: 0.309814, Systemstep: 0.000732422

Begin Step 355, Time: 0.310547, Systemstep: 0.000732422

Begin Step 356, Time: 0.311279, Systemstep: 0.000732422

Begin Step 357, Time: 0.312012, Systemstep: 0.000732422

Begin Step 358, Time: 0.312744, Systemstep: 0.000732422

Begin Step 359, Time: 0.313477, Systemstep: 0.000732422

Begin Step 360, Time: 0.314209, Systemstep: 0.000732422

Begin Step 361, Time: 0.314941, Systemstep: 0.000732422

Begin Step 362, Time: 0.315674, Systemstep: 0.000732422

Begin Step 363, Time: 0.316406, Systemstep: 0.000732422

Begin Step 364, Time: 0.317139, Systemstep: 0.000732422

Begin Step 365, Time: 0.317871, Systemstep: 0.000732422

Begin Step 366, Time: 0.318604, Systemstep: 0.000732422

Begin Step 367, Time: 0.319336, Systemstep: 0.000732422

Begin Step 368, Time: 0.320068, Systemstep: 0.000732422

Begin Step 369, Time: 0.320801, Systemstep: 0.000732422

Begin Step 370, Time: 0.321533, Systemstep: 0.000732422

Begin Step 371, Time: 0.322266, Systemstep: 0.000732422

Begin Step 372, Time: 0.322998, Systemstep: 0.000732422

Begin Step 373, Time: 0.32373, Systemstep: 0.000732422

Begin Step 374, Time: 0.324463, Systemstep: 0.000732422

Begin Step 375, Time: 0.325195, Systemstep: 0.000732422

Begin Step 376, Time: 0.325928, Systemstep: 0.000732422

Begin Step 377, Time: 0.32666, Systemstep: 0.000732422

Begin Step 378, Time: 0.327393, Systemstep: 0.000732422

Begin Step 379, Time: 0.328125, Systemstep: 0.000732422

Begin Step 380, Time: 0.328857, Systemstep: 0.000732422

Begin Step 381, Time: 0.32959, Systemstep: 0.000732422

Begin Step 382, Time: 0.330322, Systemstep: 0.000732422

Begin Step 383, Time: 0.331055, Systemstep: 0.000732422

Begin Step 384, Time: 0.331787, Systemstep: 0.000732422

Begin Step 385, Time: 0.33252, Systemstep: 0.000732422

Begin Step 386, Time: 0.333252, Systemstep: 0.000732422

Begin Step 387, Time: 0.333984, Systemstep: 0.000732422

Begin Step 388, Time: 0.334717, Systemstep: 0.000732422

Begin Step 389, Time: 0.335449, Systemstep: 0.000732422

Begin Step 390, Time: 0.336182, Systemstep: 0.000732422

Begin Step 391, Time: 0.336914, Systemstep: 0.000732422

Begin Step 392, Time: 0.337646, Systemstep: 0.000732422

Begin Step 393, Time: 0.338379, Systemstep: 0.000732422

Begin Step 394, Time: 0.339111, Systemstep: 0.000732422

Begin Step 395, Time: 0.339844, Systemstep: 0.000732422

Begin Step 396, Time: 0.340576, Systemstep: 0.000732422

Begin Step 397, Time: 0.341309, Systemstep: 0.000732422

Begin Step 398, Time: 0.342041, Systemstep: 0.000732422

Begin Step 399, Time: 0.342773, Systemstep: 0.000732422

Begin Step 400, Time: 0.343506, Systemstep: 0.000732422

Begin Step 401, Time: 0.344238, Systemstep: 0.000732422

Begin Step 402, Time: 0.344971, Systemstep: 0.000732422

Begin Step 403, Time: 0.345703, Systemstep: 0.000732422

Begin Step 404, Time: 0.346436, Systemstep: 0.000732422

Begin Step 405, Time: 0.347168, Systemstep: 0.000732422

Begin Step 406, Time: 0.3479, Systemstep: 0.000732422

Begin Step 407, Time: 0.348633, Systemstep: 0.000732422

Begin Step 408, Time: 0.349365, Systemstep: 0.000732422

Begin Step 409, Time: 0.350098, Systemstep: 0.000732422

Begin Step 410, Time: 0.35083, Systemstep: 0.000732422

Begin Step 411, Time: 0.351562, Systemstep: 0.000732422

Begin Step 412, Time: 0.352295, Systemstep: 0.000732422

Begin Step 413, Time: 0.353027, Systemstep: 0.000732422

Begin Step 414, Time: 0.35376, Systemstep: 0.000732422

Begin Step 415, Time: 0.354492, Systemstep: 0.000732422

Begin Step 416, Time: 0.355225, Systemstep: 0.000732422

Begin Step 417, Time: 0.355957, Systemstep: 0.000732422

Begin Step 418, Time: 0.356689, Systemstep: 0.000732422

Begin Step 419, Time: 0.357422, Systemstep: 0.000732422

Begin Step 420, Time: 0.358154, Systemstep: 0.000732422

Begin Step 421, Time: 0.358887, Systemstep: 0.000732422

Begin Step 422, Time: 0.359619, Systemstep: 0.000732422

Begin Step 423, Time: 0.360352, Systemstep: 0.000732422

Begin Step 424, Time: 0.361084, Systemstep: 0.000732422

Begin Step 425, Time: 0.361816, Systemstep: 0.000732422

Begin Step 426, Time: 0.362549, Systemstep: 0.000732422

